,WELL_ID,Latitude,Longitude,Mean Liquid produced,Mean Production days
0,2,31.024859999999993,-100.97829,41307.0,670.0
1,3,31.036579999999972,-101.79046999999994,31108.0,608.0
2,4,31.117639999999977,-101.1615000000001,15100.0,1522.0
3,6,31.060160000000003,-101.22594000000007,160458.0,731.0
4,7,31.11963999999994,-101.10948000000006,2039.0,1400.0
5,8,31.396559999999972,-101.17403000000006,72357.0,914.0
6,10,31.395929999999975,-101.17373000000008,32935.0,884.0
7,11,31.173379999999966,-101.03639000000014,106650.0,731.0
8,12,31.173530000000024,-101.03421999999985,102450.0,731.0
9,14,31.174410000000034,-101.24056000000012,55902.0,549.0
10,15,31.173230000000025,-101.23850000000016,116117.0,549.0
11,16,31.132669999999976,-101.07657999999995,54793.0,731.0
12,18,31.214699999999997,-100.93409,14077.0,549.0
13,19,31.146660000000015,-101.31890999999997,30587.0,761.0
14,21,31.16429999999997,-101.70096999999993,61406.0,639.0
15,22,31.164199999999983,-101.70214000000007,23939.0,670.0
16,23,31.14684999999999,-101.28652999999996,46496.0,580.0
17,24,31.043850000000017,-100.9564600000001,20888.0,1310.0
18,25,30.81300000000002,-100.88565999999996,2426.0,974.0
19,26,30.78085000000002,-100.88441000000006,1243.0,974.0
